,CH4pct,CO2pct,PkPk1,PkPk2,PkPkRef,Temperature,mnAct1,mnAct2,mnRef,mxAct1,mxAct2,mxRef,time
0,,0.025574209925585248,1.9596787643049673,1.955543989603995,1.9600834798912383,22.0,0.5457395965742584,0.5459964926238647,0.5416632344321292,2.5054183608792258,2.5015404822278597,2.5017467143233674,2019-11-06 15:14:37.697544
1,0.0,0.013323563423212193,1.9625409796882842,1.9560732789126967,1.958437795452809,22.0,0.5453563386626648,0.5459643061118491,0.5425155809540249,2.507897318350949,2.5020375850245458,2.5009533764068337,2019-11-06 15:14:37.947368
2,0.0,0.02129302213629502,1.9616689636312679,1.9552233165768762,1.9590016554596015,22.0,0.5457211191321754,0.5463201458835776,0.5425686290941988,2.507390082763443,2.501543462460454,2.5015702845538,2019-11-06 15:14:38.196722
3,0.0,0.017127577545811495,1.9618230416563798,1.9557472414669086,1.9587867806895711,22.0,0.5457604582024167,0.5457181388995813,0.5424196174644967,2.5077769169541497,2.501387298272526,2.5008425117543354,2019-11-06 15:14:38.447112
4,0.0,0.017185758258173638,1.9624184921286691,1.9556196875118836,1.958669359525366,22.0,0.5455834323863307,0.5458468849476439,0.5419678142032401,2.50822693207585,2.501545846646529,2.5004318357028765,2019-11-06 15:14:38.697286
5,0.0,0.014779532550821756,1.9619637086348185,1.95574157902498,1.9583641837077361,22.0,0.5466271098407638,0.5460149700659478,0.5420905997861146,2.5089547048753147,2.5019672515353264,2.5004777312848248,2019-11-06 15:14:38.947509
6,0.0,0.016434859838093646,1.960821683504782,1.9552975243684678,1.9582133839384777,22.0,0.5474061426408461,0.5465669091423642,0.5421251704842055,2.5075009474159415,2.5017616154863376,2.5001993775605413,2019-11-06 15:14:39.196632
7,0.0,0.016265610991161646,1.9620826199153207,1.9558667487939296,1.9587534020845179,22.0,0.5464912112344755,0.5459494049488789,0.5415386607096982,2.509646714883651,2.5018706919992795,2.5003847480278907,2019-11-06 15:14:39.446421
8,0.0,0.014125518448632352,1.9623818352677624,1.955885524259272,1.9583921978941201,22.0,0.5470997747301787,0.5456746275037083,0.5418116500153124,2.5093165051122313,2.5012496115266813,2.500022947790974,2019-11-06 15:14:39.697682
9,0.0,0.017284119823418338,1.9631653384167358,1.956264609845234,1.9593327593007994,22.0,0.5456859523875657,0.5453915054072744,0.5408490348874372,2.5083860764963717,2.5020626189783357,2.500340640585499,2019-11-06 15:14:39.946783
10,0.0,0.01601268839278573,1.9629483774838896,1.9558059520490112,1.9586476038274294,22.0,0.5454338247101098,0.5460966284390245,0.5404461074407229,2.508378327891627,2.5017425419977357,2.4978467819508055,2019-11-06 15:14:40.196423
11,0.0,0.012305161397320706,1.9613059713013137,1.9562669940313093,1.9584509084762227,22.0,0.5461532528583113,0.5457908565748759,0.5393738197533869,2.5065401204276228,2.5023731592146348,2.4978026745084136,2019-11-06 15:14:40.446812
12,0.0,0.0030285708115424382,1.9620110943330638,1.9563194461249644,1.9568567820616702,22.0,0.5439961605067445,0.545026128891245,0.5407399583744953,2.5054743892519937,2.500317990817784,2.497390806363917,2019-11-06 15:14:40.697077
13,0.0,0.009114130521142946,1.9616114451422029,1.9559004254222423,1.957517499627769,22.0,0.5439401321339765,0.5445969753977031,0.5404401469755348,2.505628765300365,2.5006768108221067,2.4985244868426904,2019-11-06 15:14:40.946760
14,0.0,0.01415328540142837,1.962284083638678,1.955295438205652,1.9578062841661317,22.0,0.5439359598083449,0.5456644947128886,0.5405426669767698,2.5068113215936805,2.5012430550149745,2.4981734154431123,2019-11-06 15:14:41.197316
15,0.0,0.010220881396823296,1.9635453180724762,1.9555320686736188,1.9573452421838335,22.0,0.5425269058378822,0.545843308668531,0.5399436402253676,2.505333126227036,2.5015076996693253,2.4964043493752897,2019-11-06 15:14:41.446575
16,0.0,0.022879385694331327,1.9622307374752446,1.9554608411146213,1.9595214080240022,22.0,0.542972152587432,0.5461061651833254,0.5381018564822503,2.505072653898317,2.501626312926568,2.498842179637215,2019-11-06 15:14:41.696404
17,0.0,0.022715332847009658,1.9626962498064338,1.955428952625865,1.9594603132558244,22.0,0.5435729674783907,0.5460817272760543,0.5392456697518432,2.507465780671332,2.5013950468772705,2.4985697863781198,2019-11-06 15:14:41.946846
18,0.0,0.019364288321544684,1.962262029917482,1.9550906962264414,1.958526308360852,22.0,0.5453485900579202,0.546405976582286,0.5398917841782312,2.5077554592794726,2.501598298740184,2.4982663987000464,2019-11-06 15:14:42.196936
19,0.0,0.0028874538333233286,1.961961920495262,1.9552045411115337,1.9557165450711902,22.0,0.5461502726257172,0.5463821347215336,0.5425751856059057,2.508468926962486,2.5015750529259506,2.498317062654145,2019-11-06 15:14:42.447415
20,0.0,0.02057965050109148,1.9613554431623748,1.9547566121526494,1.9584073970803497,22.0,0.5461008007646562,0.5465794261192591,0.539842908363689,2.506443560891576,2.5010970236178665,2.498183548233932,2019-11-06 15:14:42.697224
21,0.0,0.01646571822335362,1.9603549790805552,1.955021852853519,1.9579427788189387,22.0,0.5463392193721794,0.5461508686722361,0.5400187420867374,2.5069448360138935,2.5012484194336437,2.49773949357742,2019-11-06 15:14:42.946421
22,0.0,0.01567877490786762,1.962096030961994,1.9551672882041082,1.9579487392841268,22.0,0.5446381026075009,0.5462819989063739,0.5402911353458327,2.506523431125096,2.5016501547873204,2.498740255682499,2019-11-06 15:14:43.197043
