,CH4pct,CO2pct,PkPk1,PkPk2,PkPkRef,Temperature,mnAct1,mnAct2,mnRef,mxAct1,mxAct2,mxRef,time,CO2,CH4
0,11.838259311383432,0.0,0.9763385029242637,1.0806681013903738,1.0644204693341814,22.0,1.530459705646003,1.4246966153021592,1.4356495661317785,2.5067982085702667,2.505364716692533,2.50007003546596,2019-11-04 13:21:20.166146,0.0,0.0
1,0.0,0.0,1.9637122110977423,1.965602870655402,1.9599082422147087,22.0,0.5444491558610387,0.5395919727792707,0.5410290409361173,2.508161366958781,2.5051948434346727,2.500937283150826,2019-11-04 13:21:20.407967,0.0,0.0
2,0.0,0.0,1.9634702162111062,1.966268058570392,1.9604524326863806,22.0,0.5449802333092968,0.5397707867349132,0.5408347297709858,2.508450449520403,2.506038845305305,2.5012871624573663,2019-11-04 13:21:20.646628,0.0,0.0
3,0.0,0.0,1.963309283651028,1.965352829140762,1.9603630257085594,22.0,0.5443770342322629,0.5402357030195836,0.5403322625556305,2.506922186246179,2.505138219015386,2.500103414071013,2019-11-04 13:21:20.895262,0.0,0.0
4,0.05428148728506673,0.0,1.9625713780607434,1.9653495508849086,1.9609444690876567,22.0,0.544124906554807,0.5402553725547042,0.5391133474246678,2.506470382984922,2.5060716278638395,2.5000122189536356,2019-11-04 13:21:21.181575,0.0,0.0
5,0.0,0.0,1.9630789116715088,1.9655384976313708,1.9604449821048955,22.0,0.5418956925744643,0.5406684327922383,0.5390507625401929,2.503478825507024,2.5063422329833784,2.498979270336541,2019-11-04 13:21:21.395138,0.0,0.0
6,0.0,0.0,1.9635745243518978,1.9653236228613404,1.9607921792021012,22.0,0.5414558102435839,0.5405647206979657,0.539463822777727,2.5065818436839393,2.5054344541352336,2.5015327336231152,2019-11-04 13:21:21.646492,0.0,0.0
7,0.010922168978860223,0.0,1.9618558242149142,1.9658368189140343,1.9595723700013603,22.0,0.5455429012230517,0.5395305799878335,0.5412322927990308,2.5082156071919925,2.5053003436685017,2.500076591977667,2019-11-04 13:21:21.895449,0.0,0.0
8,0.0,0.0,1.963111694230043,1.9654055792576766,1.9593911718596426,22.0,0.544818108656181,0.5403334546486681,0.5410803009367348,2.5076439985804555,2.5061777241441874,2.5008663536150877,2019-11-04 13:21:22.147139,0.0,0.0
9,0.0,0.0,1.962760622830465,1.9651126223936823,1.9595977019784097,22.0,0.5450010949374551,0.5408579755852193,0.5412901093113552,2.5078794369553847,2.5057634718136157,2.500909268964442,2019-11-04 13:21:22.404561,0.0,0.0
10,0.0,0.0,1.9641532855216606,1.9655343253057391,1.96152293223416,22.0,0.5428130081669101,0.540455048138505,0.5396480011520387,2.5060531504217565,2.5062152750748723,2.5014325978079555,2019-11-04 13:21:22.656773,0.0,0.0
11,0.0,0.0,1.9628455594593952,1.9660078842649322,1.9588150928992145,22.0,0.5436802558517762,0.5402523923221102,0.5428088358412785,2.5069984802005862,2.5063052780992123,2.5018152596730303,2019-11-04 13:21:22.899131,0.0,0.0
12,0.05691973301438535,0.0,1.9619136407272386,1.9655384976313708,1.9603272629174309,22.0,0.5450362616820648,0.5403006720901337,0.5412930895439493,2.5069013246180205,2.5053730613437963,2.5014254452497298,2019-11-04 13:21:23.144776,0.0,0.0
13,0.0,0.0,1.96297817980983,1.9655218083288442,1.9597118448867614,22.0,0.5433977298018611,0.5404341865103467,0.5418050935036055,2.5058504946053617,2.506538928334585,2.501608431531004,2019-11-04 13:21:23.399584,0.0,0.0
14,0.0,0.0,1.9641342120330587,1.9657295305406488,1.9600855660540542,22.0,0.5421156337399046,0.5404693532549564,0.5413455416376044,2.5066491969405647,2.505858839256625,2.501253783852313,2019-11-04 13:21:23.655762,0.0,0.05691973301438535
15,0.12176218477290018,0.0,1.961598928165308,1.9653841215829995,1.9609954310650148,22.0,0.5453754121512666,0.5404002118587746,0.5406690288387571,2.5072994836925844,2.505709827626923,2.5020751359552307,2019-11-04 13:21:23.897052,0.0,0.0
16,0.10419202699118112,0.0,1.961983974216458,1.964857216460373,1.9611140443222577,22.0,0.543512766779991,0.5409128118649497,0.5407530713979091,2.5036939983003137,2.505830229023722,2.5016590954851026,2019-11-04 13:21:24.147374,0.0,0.0
17,0.0,0.0,1.9638215856339438,1.9658782441470914,1.9604214382674026,22.0,0.541576807686902,0.5395931648723084,0.5408234048871284,2.5071027883413777,2.505112589015077,2.500830590823959,2019-11-04 13:21:24.396445,0.0,0.016030162984007654
18,0.0,0.0,1.9623413041044835,1.965815957285876,1.9598244976788162,22.0,0.5450779849383813,0.539886419759562,0.5406219411637713,2.507735789744352,2.5062921650757986,2.5000622868612155,2019-11-04 13:21:24.650145,0.0,0.0
19,0.016030162984007654,0.0,1.962852115971102,1.9659330804268218,1.9606449557119556,22.0,0.5445719414439132,0.5402476239499597,0.5401027846458893,2.5071123250856786,2.5060692436777643,2.5014331938544743,2019-11-04 13:21:24.897036,0.0,0.0
20,0.0,0.0,1.9624202802682256,1.9657018143775242,1.9598823141911406,22.0,0.5454028302911318,0.5402768302293813,0.5409265209348822,2.508533896033036,2.5058880455360466,2.500184476397571,2019-11-04 13:21:25.154599,0.0,0.0
21,0.0,0.0,1.9637876109823715,1.9655513126315252,1.9603761387319731,22.0,0.544162457485492,0.5405021358134908,0.5409891058193571,2.507366240902691,2.506218851353985,2.502546012705089,2019-11-04 13:21:25.399459,0.0,0.0008387567622049013
